hardware_keywords,software_keywords,urgency_score,log_lines_attached,reporter_seniority,hour_of_day,category
5,4,7.1,119,1,8,Performance
1,5,7.9,85,3,12,Security
8,1,3.6,31,5,21,Hardware
0,4,3.5,62,4,6,Performance
0,5,5.6,28,1,18,Firmware
4,6,3.1,21,1,14,Firmware
4,0,3.0,68,3,3,Hardware
4,7,3.8,16,1,20,Firmware
8,1,3.3,62,5,3,Hardware
7,1,3.0,76,5,5,Hardware
3,5,4.7,44,1,2,Firmware
3,0,1.7,74,1,18,Hardware
4,2,4.5,90,3,23,Performance
4,2,3.1,73,2,19,Firmware
3,3,8.3,152,5,22,Performance
0,4,6.1,94,1,11,Performance
1,4,5.0,156,3,18,Performance
4,3,5.6,139,1,14,Performance
1,7,4.7,70,2,8,Software
2,1,1.0,24,4,15,Documentation
4,6,4.2,46,4,8,Firmware
5,3,2.9,98,1,22,Firmware
2,7,3.8,83,4,12,Software
1,1,1.1,43,3,10,Documentation
0,3,8.4,66,5,8,Security
0,9,3.9,69,4,11,Software
2,10,3.0,74,2,12,Software
4,3,4.7,18,3,14,Firmware
1,10,7.3,62,5,2,Security
3,5,4.5,140,1,7,Performance
0,9,3.6,10,4,6,Software
1,5,7.4,47,1,2,Security
4,6,4.7,91,5,13,Firmware
1,8,1.7,87,1,13,Software
3,3,8.8,108,2,5,Performance
5,0,3.2,64,3,5,Hardware
9,1,3.0,45,2,17,Hardware
0,10,1.7,86,4,0,Software
10,0,2.7,19,1,9,Hardware
4,3,2.7,84,3,0,Firmware
5,0,3.6,52,1,2,Hardware
0,7,7.9,54,3,9,Security
4,1,1.9,54,1,19,Hardware
6,6,4.2,83,3,8,Firmware
6,0,3.2,30,3,9,Hardware
0,0,7.5,158,1,6,Performance
0,0,1.1,23,4,16,Documentation
9,1,2.8,32,3,13,Hardware
4,2,4.0,100,1,1,Performance
7,1,5.4,41,4,12,Hardware
5,5,3.3,79,1,23,Firmware
1,3,2.8,39,2,3,Firmware
3,4,6.6,117,5,17,Performance
1,10,4.1,84,2,2,Software
0,9,2.4,95,1,15,Software
0,2,1.3,30,3,11,Documentation
1,2,9.1,76,1,9,Security
0,8,2.8,112,4,16,Software
8,3,4.5,44,2,15,Hardware
7,1,3.9,31,4,4,Hardware
3,6,4.0,63,1,5,Firmware
0,9,3.3,80,2,4,Software
7,3,3.8,14,5,11,Firmware
9,0,2.3,57,1,20,Hardware
9,0,1.0,60,1,8,Hardware
3,1,6.5,103,3,3,Performance
2,10,4.5,98,4,14,Software
1,6,7.6,103,5,18,Security
8,0,2.5,29,3,3,Hardware
9,2,3.0,40,2,6,Hardware
5,1,3.0,33,2,3,Hardware
9,0,1.0,72,4,10,Hardware
9,0,5.5,46,1,20,Hardware
1,1,1.0,17,4,10,Documentation
0,5,4.8,26,3,2,Firmware
11,1,1.6,80,3,1,Hardware
3,3,3.4,42,5,8,Firmware
6,3,4.1,11,5,2,Firmware
5,3,7.3,142,1,7,Performance
2,11,2.6,51,5,13,Software
2,6,5.2,64,2,19,Software
1,1,1.4,28,4,21,Documentation
3,0,3.8,27,2,4,Firmware
4,6,4.8,91,2,8,Firmware
3,5,8.5,93,5,16,Security
5,5,4.2,51,5,12,Firmware
0,8,1.9,116,3,9,Software
1,11,4.1,50,4,16,Software
2,1,5.9,106,3,6,Performance
2,5,2.3,71,2,18,Firmware
9,3,4.1,64,2,22,Hardware
1,6,4.5,47,5,2,Firmware
1,5,7.7,55,5,1,Security
0,5,9.6,41,3,0,Security
1,4,9.9,62,2,2,Security
0,2,8.3,56,2,7,Security
0,9,2.4,38,2,11,Software
0,6,5.1,148,1,23,Performance
2,3,4.4,71,3,20,Performance
0,7,3.3,88,4,17,Software
2,1,6.2,96,3,5,Performance
3,2,4.0,53,1,1,Firmware
3,4,4.3,74,3,1,Firmware
6,0,5.4,26,4,19,Hardware
6,5,4.2,77,4,6,Firmware
2,4,4.3,80,3,8,Firmware
4,1,3.9,95,3,11,Performance
1,11,3.8,70,5,15,Software
10,0,4.6,32,5,17,Hardware
4,6,3.5,58,2,13,Firmware
1,0,1.4,33,4,6,Documentation
1,8,3.1,67,4,4,Software
1,8,2.0,112,1,14,Software
2,6,7.9,123,2,23,Security
1,6,4.1,15,4,19,Software
8,0,3.6,28,4,1,Hardware
3,0,8.1,83,3,17,Performance
1,6,7.7,103,5,4,Security
2,5,1.8,152,2,16,Software
0,2,5.4,91,4,0,Performance
0,4,6.3,112,5,6,Performance
9,2,4.2,84,3,9,Hardware
1,0,1.3,28,2,22,Documentation
0,10,4.7,82,1,10,Firmware
2,2,1.0,43,4,14,Documentation
6,0,2.8,36,1,23,Firmware
2,5,8.5,48,1,3,Security
5,1,4.3,64,3,12,Firmware
5,2,1.6,44,4,16,Hardware
3,4,5.1,60,4,21,Firmware
0,4,5.8,55,3,20,Firmware
3,9,2.4,70,5,19,Software
8,0,1.9,30,4,18,Hardware
3,3,3.1,68,1,4,Performance
1,13,2.1,94,5,1,Software
3,1,5.7,70,2,20,Firmware
4,2,5.0,88,5,21,Performance
0,11,3.3,92,5,11,Software
8,5,5.2,41,3,13,Firmware
2,4,7.6,57,2,4,Security
0,2,1.1,67,4,2,Documentation
9,0,4.6,74,2,18,Hardware
7,2,5.8,77,2,15,Firmware
4,4,2.5,81,5,1,Performance
3,0,6.9,116,5,15,Performance
7,2,1.8,51,1,3,Hardware
1,4,3.1,36,1,12,Firmware
2,8,5.3,88,2,20,Software
0,1,1.0,28,1,12,Documentation
0,6,3.1,108,1,20,Firmware
1,3,5.2,54,5,17,Firmware
1,8,3.3,65,2,14,Software
0,1,2.1,0,2,1,Documentation
1,11,2.7,72,4,9,Software
4,2,5.8,111,4,13,Performance
2,6,1.8,88,2,14,Software
1,10,4.7,82,1,1,Software
0,2,1.0,17,4,15,Documentation
0,3,6.6,35,2,19,Security
0,5,6.5,64,5,14,Security
5,0,8.0,87,3,13,Performance
6,0,3.2,65,3,21,Hardware
0,1,1.0,10,4,1,Documentation
2,5,7.3,56,2,7,Security
0,10,3.0,95,5,22,Software
0,1,1.0,55,2,14,Documentation
10,0,3.8,43,1,21,Hardware
1,9,2.2,61,1,19,Software
6,2,5.3,43,5,8,Firmware
2,8,8.2,130,5,8,Security
0,2,7.6,99,2,22,Security
2,2,5.1,140,3,16,Performance
0,8,2.3,83,4,10,Software
1,2,1.0,16,1,13,Documentation
7,0,3.6,50,4,18,Hardware
8,2,3.6,0,5,15,Hardware
2,7,6.0,32,5,3,Performance
1,8,3.2,95,2,3,Software
1,2,1.0,34,4,21,Documentation
0,9,2.7,95,4,8,Software
7,2,2.8,38,2,22,Hardware
10,0,3.8,60,2,0,Hardware
8,0,3.2,48,5,16,Hardware
13,0,3.1,84,5,21,Hardware
6,1,1.8,23,5,7,Hardware
1,3,8.8,64,5,16,Security
6,4,3.4,66,5,20,Firmware
0,4,5.8,134,5,18,Performance
2,6,4.4,57,1,3,Firmware
8,1,1.7,41,4,13,Hardware
10,3,3.8,23,3,22,Hardware
10,0,3.0,69,4,22,Hardware
0,10,2.3,100,4,14,Software
0,10,1.2,36,4,9,Software
5,0,3.8,77,3,17,Hardware
1,0,10.0,72,1,20,Security
6,0,4.8,43,4,14,Hardware
0,9,3.6,97,2,23,Software
5,5,6.1,25,3,3,Performance
1,0,4.3,41,4,22,Firmware
0,5,3.2,81,3,15,Software
2,11,4.4,61,3,2,Software
8,0,3.0,31,3,12,Hardware
5,0,4.1,99,5,3,Firmware
1,12,5.0,92,3,14,Software
9,0,4.1,38,5,23,Hardware
3,7,10.0,86,3,14,Security
2,7,2.9,68,4,1,Firmware
2,4,4.2,117,2,16,Firmware
0,10,4.9,58,2,9,Software
4,2,5.0,75,1,3,Firmware
1,2,6.2,65,3,15,Security
3,4,7.5,124,2,1,Performance
10,1,3.5,38,3,0,Hardware
9,1,2.7,40,5,20,Hardware
7,1,3.4,60,2,8,Hardware
6,1,4.5,73,4,0,Firmware
5,6,4.7,187,5,14,Performance
2,4,3.8,107,2,14,Performance
0,7,3.4,54,5,20,Software
0,2,1.0,27,3,0,Documentation
0,2,5.7,138,3,23,Performance
1,2,1.0,10,2,5,Documentation
1,0,1.5,25,5,10,Documentation
1,9,3.4,36,3,10,Software
0,3,1.0,36,5,15,Documentation
0,3,8.3,65,1,4,Security
2,1,8.5,142,5,4,Performance
2,1,7.7,105,4,19,Security
8,1,2.9,16,4,14,Hardware
1,3,5.9,92,5,20,Firmware
3,6,3.4,40,1,19,Firmware
8,1,3.3,63,3,22,Hardware
12,0,3.8,28,5,21,Hardware
7,3,3.3,56,1,18,Hardware
1,3,1.0,20,1,10,Documentation
4,4,4.0,37,4,7,Firmware
3,1,9.0,81,3,6,Security
3,0,4.7,67,2,20,Firmware
0,2,1.5,18,4,18,Documentation
7,1,4.1,91,4,16,Hardware
10,0,2.4,61,3,3,Hardware
0,9,2.2,69,1,16,Software
6,0,6.0,39,2,20,Hardware
4,2,4.9,46,4,13,Firmware
4,4,4.5,62,2,9,Firmware
3,5,3.9,72,1,10,Firmware
8,0,1.1,56,1,9,Hardware
0,5,3.5,104,1,1,Software
6,6,6.8,122,5,23,Performance
0,11,1.0,81,4,5,Software
0,6,3.7,62,2,10,Software
3,2,8.8,33,5,9,Security
1,9,4.4,20,3,7,Software
1,2,8.0,56,2,18,Security
3,5,7.4,77,1,3,Security
5,1,3.4,36,2,17,Hardware
2,7,8.4,68,4,11,Security
9,0,4.6,8,3,9,Hardware
5,1,4.3,53,1,23,Hardware
0,12,2.3,96,3,12,Software
4,1,1.8,81,1,14,Hardware
2,2,1.0,13,5,17,Documentation
0,9,2.5,32,2,20,Software
3,2,6.1,93,5,16,Performance
4,2,5.8,138,1,9,Performance
7,0,4.0,10,4,9,Hardware
2,8,2.7,84,2,6,Software
6,1,3.5,0,4,12,Hardware
0,1,1.0,31,5,13,Documentation
0,1,1.8,21,4,14,Documentation
3,4,7.7,46,4,11,Performance
7,0,3.3,16,4,6,Hardware
0,9,3.9,129,5,21,Software
1,5,3.8,142,2,11,Software
0,1,1.2,45,5,11,Documentation
2,9,3.6,90,5,12,Software
1,3,3.7,73,1,5,Performance
1,10,4.4,57,4,17,Software
4,1,3.3,46,1,16,Hardware
7,0,3.7,60,2,5,Hardware
1,5,4.2,63,4,19,Firmware
7,3,5.9,19,5,19,Firmware
0,10,2.9,55,2,0,Software
2,1,8.6,90,1,1,Security
3,2,2.3,12,2,4,Documentation
5,1,1.4,53,2,23,Hardware
1,4,8.5,106,1,0,Security
0,2,7.6,109,2,10,Security
0,10,1.7,111,5,1,Software
6,5,4.2,62,3,1,Firmware
0,6,4.1,128,3,6,Software
4,5,3.1,38,4,22,Firmware
2,9,2.7,105,1,16,Software
0,13,5.3,77,3,19,Software
0,7,4.1,64,5,13,Software
0,6,4.1,44,3,16,Software
4,2,5.1,88,1,16,Performance
9,0,3.2,44,3,20,Hardware
2,1,5.5,80,3,20,Performance
6,0,2.0,49,2,10,Hardware
6,1,6.4,102,3,21,Performance
3,8,6.8,56,5,22,Security
1,10,4.4,72,2,11,Software
5,2,5.8,140,5,12,Performance
8,1,2.2,45,1,23,Hardware
0,5,5.5,0,5,18,Software
7,2,1.6,0,4,10,Hardware
3,3,7.0,67,5,22,Firmware
0,8,3.2,82,3,17,Software
1,11,3.6,53,3,9,Software
2,8,7.2,46,1,9,Security
1,1,6.1,47,5,4,Firmware
3,3,6.5,53,2,18,Security
8,0,3.5,44,1,18,Hardware
6,1,4.3,103,1,7,Performance
2,2,4.0,42,5,7,Firmware
0,1,1.6,25,2,19,Documentation
0,8,4.4,142,4,3,Software
3,0,4.9,76,1,12,Performance
0,10,1.4,146,3,1,Software
3,6,2.7,38,4,15,Firmware
3,0,6.7,152,2,9,Performance
1,3,1.0,31,3,21,Documentation
9,2,4.6,55,2,9,Hardware
1,9,3.0,98,1,10,Software
1,10,3.2,23,3,5,Software
0,7,2.0,130,3,5,Software
11,2,3.5,41,1,10,Hardware
2,10,4.4,116,2,3,Software
7,0,5.1,85,5,22,Performance
4,0,6.9,14,1,4,Performance
0,0,1.3,9,3,3,Documentation
8,1,3.5,47,2,16,Hardware
2,5,5.2,83,4,15,Firmware
2,8,4.0,64,1,5,Software
0,10,3.6,85,3,3,Software
1,6,4.2,86,2,12,Software
0,3,5.2,88,1,4,Performance
2,3,3.7,62,2,8,Firmware
2,0,8.4,87,3,2,Security
3,7,4.6,55,1,1,Firmware
0,9,2.5,93,2,8,Software
1,4,6.9,150,1,19,Performance
0,1,1.0,47,5,9,Documentation
3,3,4.2,53,4,10,Firmware
11,0,4.9,66,4,10,Hardware
1,10,2.6,39,3,4,Software
1,0,1.0,0,3,19,Documentation
2,4,1.4,64,2,4,Firmware
2,1,7.4,96,3,12,Security
4,3,3.2,75,5,10,Firmware
1,4,7.9,66,2,18,Security
1,5,3.6,49,5,7,Firmware
2,3,6.2,76,2,20,Performance
5,9,5.5,79,4,14,Firmware
4,4,5.9,60,4,5,Firmware
1,5,6.0,0,5,10,Performance
4,3,3.3,68,2,13,Firmware
1,7,8.8,80,1,21,Security
5,6,5.9,54,2,14,Performance
0,8,3.3,102,5,2,Software
9,0,1.9,36,2,7,Hardware
2,7,6.7,26,1,9,Security
5,2,3.7,62,2,3,Hardware
1,8,3.5,118,2,11,Software
1,6,1.4,76,4,21,Software
0,2,1.1,56,3,11,Documentation
0,10,2.1,79,2,4,Software
1,0,7.3,194,1,17,Performance
0,1,7.3,92,5,2,Performance
0,4,9.0,74,2,15,Security
7,4,3.7,98,3,10,Firmware
2,1,7.0,90,5,17,Performance
6,0,5.0,45,2,1,Hardware
9,0,1.6,23,2,2,Hardware
11,0,4.8,80,3,14,Hardware
1,10,2.7,100,3,15,Software
7,0,3.3,48,3,11,Hardware
8,0,4.2,54,3,16,Hardware
4,1,4.3,50,5,2,Firmware
5,0,2.6,59,1,9,Hardware
2,4,7.1,109,3,12,Security
0,8,3.6,73,2,11,Software
2,9,2.3,70,4,17,Firmware
5,4,3.7,39,4,12,Firmware
8,1,2.4,57,1,18,Hardware
1,5,4.4,79,4,8,Performance
3,3,5.0,73,3,13,Firmware
2,0,2.3,47,2,5,Firmware
0,2,1.0,51,5,13,Documentation
6,1,3.5,37,5,10,Hardware
2,4,5.5,36,5,17,Performance
0,11,2.5,76,3,19,Software
6,0,2.7,114,5,17,Firmware
1,6,3.0,134,3,12,Software
2,12,1.9,96,3,15,Software
1,3,8.7,82,2,1,Security
0,11,1.7,95,2,21,Software
0,4,3.1,118,2,11,Performance
2,9,2.2,101,4,15,Software
2,1,1.0,40,5,11,Documentation
8,2,1.5,7,5,8,Hardware
0,0,1.0,39,3,5,Documentation
0,7,3.3,120,2,17,Software
9,0,2.1,84,3,3,Hardware
9,2,3.9,16,3,12,Hardware
2,8,1.0,114,3,4,Software
0,6,5.2,150,1,3,Performance
1,11,3.0,64,4,17,Software
0,9,3.0,47,1,15,Software
4,8,3.1,22,2,8,Firmware
3,1,6.9,144,5,15,Performance
7,0,1.6,33,2,6,Hardware
1,5,9.4,105,4,10,Security
8,0,3.8,9,3,11,Hardware
1,4,8.8,157,1,5,Performance
12,0,1.0,44,5,8,Hardware
3,5,2.9,72,3,13,Software
1,10,2.0,56,2,8,Software
0,7,2.4,90,2,11,Software
0,1,6.2,115,2,8,Performance
2,3,3.5,66,2,2,Firmware
0,4,3.5,106,5,12,Software
0,8,3.0,86,4,15,Software
1,3,1.0,35,1,6,Documentation
7,0,2.2,49,5,22,Hardware
0,3,1.0,31,4,8,Documentation
7,2,4.1,51,1,16,Hardware
1,8,4.5,44,1,5,Software
0,12,2.9,66,3,2,Software
7,0,3.4,63,4,10,Hardware
6,0,2.3,44,3,9,Hardware
1,1,7.6,134,5,7,Performance
3,3,2.4,116,3,9,Firmware
6,0,3.8,32,4,22,Hardware
9,0,3.7,54,5,23,Hardware
5,0,4.3,81,2,9,Performance
1,3,1.0,31,2,1,Documentation
1,8,3.8,23,2,19,Software
1,1,1.0,24,3,21,Documentation
1,3,9.1,41,3,3,Security
0,4,2.2,74,4,5,Software
3,3,5.6,45,4,20,Firmware
0,12,4.1,98,1,21,Software
4,1,5.3,36,2,13,Firmware
1,3,8.6,72,3,22,Security
11,2,3.9,79,4,14,Hardware
2,2,3.5,3,5,8,Performance
1,6,3.4,49,4,4,Software
6,1,2.1,72,5,12,Hardware
7,0,4.2,43,1,16,Hardware
3,8,8.1,78,5,11,Security
1,2,4.2,90,4,0,Performance
0,1,1.2,12,3,7,Documentation
0,9,2.2,110,5,18,Software
7,1,3.9,45,2,10,Hardware
1,10,5.3,41,2,2,Software
0,11,3.0,74,3,3,Software
10,0,2.7,37,5,7,Hardware
0,0,6.7,77,2,13,Performance
4,2,4.9,60,5,5,Firmware
6,0,2.7,41,4,12,Hardware
0,3,1.0,14,5,10,Documentation
5,1,2.7,31,5,17,Hardware
2,3,1.0,26,5,20,Documentation
1,7,2.5,59,2,22,Software
5,0,2.7,39,2,15,Hardware
2,2,1.0,39,3,23,Documentation
4,4,3.8,91,2,4,Firmware
5,4,4.2,112,1,5,Performance
1,2,1.2,22,2,7,Documentation
2,8,3.7,94,2,22,Software
0,1,1.0,57,2,7,Documentation
1,4,4.6,47,5,1,Firmware
2,6,8.5,40,2,7,Security
0,3,1.2,41,3,14,Documentation
3,0,3.2,46,3,4,Firmware
5,0,3.5,47,3,23,Hardware
5,5,5.8,100,2,14,Firmware
0,13,3.7,34,2,2,Software
4,1,2.6,54,3,15,Hardware
4,6,3.8,66,3,8,Firmware
0,8,2.7,105,5,12,Software
8,1,1.7,38,1,15,Hardware
0,3,6.8,70,3,10,Performance
4,1,4.8,45,2,14,Hardware
6,1,1.5,41,5,11,Hardware
6,2,4.1,78,3,16,Hardware
1,9,3.0,126,3,10,Software
0,10,1.3,74,5,13,Software
1,4,4.2,53,3,0,Firmware
3,9,3.0,69,3,7,Software
2,2,5.9,43,4,19,Performance
4,1,2.0,85,3,7,Firmware
2,10,2.1,102,2,2,Software
0,12,2.5,101,4,17,Software
0,4,2.9,72,5,16,Firmware
9,1,5.1,67,4,0,Hardware
1,9,1.0,40,5,9,Software
0,2,1.0,21,1,6,Documentation
7,1,2.5,62,4,7,Hardware
2,8,7.7,108,3,0,Security
6,1,2.3,19,4,20,Hardware
4,2,5.4,83,2,14,Performance
7,0,4.8,60,2,0,Hardware
12,0,5.0,69,5,10,Hardware
1,1,1.5,40,3,6,Documentation
1,1,1.0,0,3,13,Documentation
10,1,2.6,4,3,4,Hardware
0,3,8.1,109,5,21,Security
2,3,8.7,162,1,4,Security
2,7,6.9,100,3,22,Security
1,10,2.2,65,1,19,Software
1,1,1.7,36,3,1,Documentation
0,10,1.4,119,1,21,Software
4,1,3.1,14,2,19,Hardware
2,9,7.8,93,3,16,Security
4,2,5.6,16,2,17,Firmware
1,1,1.0,58,3,13,Documentation
9,1,5.4,21,4,15,Hardware
1,1,1.0,17,2,4,Documentation
8,0,4.4,31,3,11,Hardware
9,2,3.1,30,5,12,Hardware
6,2,4.3,46,4,6,Firmware
1,1,4.4,33,2,15,Firmware
5,1,2.7,68,5,4,Firmware
3,5,4.6,123,2,2,Performance
1,9,3.6,89,5,3,Software
11,1,2.5,39,1,13,Hardware
1,7,5.4,32,3,9,Software
2,6,7.3,38,1,3,Security
4,5,4.2,98,5,8,Performance
0,2,1.9,38,1,19,Documentation
0,5,3.3,60,3,8,Software
1,8,9.6,69,2,10,Security
2,1,8.1,159,2,21,Performance
7,6,4.0,54,5,2,Firmware
0,1,1.0,36,3,21,Documentation
4,5,4.4,102,3,20,Performance
2,7,2.0,90,2,8,Software
8,2,3.3,57,2,15,Hardware
1,8,3.7,67,3,19,Software
2,3,6.2,56,2,21,Performance
0,13,2.3,56,4,20,Software
0,10,3.5,58,2,12,Software
0,10,2.4,107,4,3,Software
0,4,8.4,45,4,15,Security
3,0,3.3,45,3,23,Firmware
2,10,2.8,105,3,1,Software
1,3,1.5,8,4,18,Documentation
3,1,7.4,177,2,2,Performance
2,12,4.5,52,3,3,Software
3,5,4.2,64,1,11,Firmware
0,4,7.2,162,3,20,Performance
4,4,5.4,74,1,21,Firmware
0,7,2.7,85,5,2,Software
4,5,4.6,89,4,8,Performance
1,2,1.0,25,2,1,Documentation
0,9,3.0,88,4,14,Software
6,1,3.3,41,1,12,Performance
0,8,3.2,107,5,0,Software
9,0,1.0,68,1,8,Hardware
0,7,2.5,92,5,11,Software
0,4,5.2,150,4,23,Performance
5,3,4.9,43,2,5,Hardware
2,1,8.4,134,2,14,Performance
1,8,3.7,83,4,5,Software
1,13,2.9,91,2,2,Software
5,4,6.4,113,1,2,Performance
0,1,1.0,70,2,21,Documentation
0,13,1.7,102,3,13,Software
3,3,3.7,108,3,22,Firmware
0,5,4.9,64,5,18,Firmware
1,1,1.0,0,2,10,Documentation
1,1,4.1,42,5,7,Firmware
0,2,1.2,22,3,17,Documentation
2,2,7.5,62,5,6,Security
1,4,9.1,111,1,22,Security
0,10,2.6,25,3,18,Software
9,0,4.8,75,1,23,Hardware
2,0,9.6,45,1,20,Performance
5,4,4.5,66,4,7,Firmware
0,5,5.7,99,3,6,Performance
1,6,4.2,38,3,3,Firmware
1,0,9.6,73,1,22,Security
4,3,7.3,87,3,19,Performance
3,1,1.1,22,1,16,Documentation
2,4,5.1,76,5,21,Performance
1,4,4.3,44,4,7,Firmware
2,4,9.4,83,2,1,Security
0,2,1.0,17,1,13,Documentation
1,6,4.1,145,1,1,Performance
11,0,2.7,11,5,8,Hardware
2,7,2.0,77,5,7,Software
0,8,3.1,61,3,4,Software
1,10,3.9,106,5,15,Software
0,1,1.1,21,4,22,Documentation
0,7,2.0,66,1,6,Software
0,4,7.0,52,5,11,Security
4,5,5.8,68,2,22,Security
1,3,3.8,39,2,19,Performance
9,0,2.8,56,3,19,Hardware
2,7,3.3,106,2,5,Software
2,2,3.8,128,1,10,Performance
1,8,4.2,45,4,23,Software
1,9,3.4,70,2,17,Software
2,1,5.4,83,5,5,Firmware
1,9,4.0,104,5,14,Software
5,3,10.0,78,5,5,Performance
1,12,3.1,89,1,16,Software
0,0,1.2,30,4,10,Documentation
2,3,5.0,14,5,17,Hardware
1,1,1.0,20,5,10,Documentation
1,7,1.3,16,1,11,Software
0,6,1.7,116,4,7,Software
5,0,2.6,27,5,18,Hardware
1,3,6.4,60,1,3,Security
0,10,4.4,52,4,0,Software
3,4,9.0,73,4,10,Security
3,1,3.5,161,3,14,Performance
0,1,1.1,37,5,18,Documentation
0,0,1.0,19,4,11,Documentation
1,1,6.7,136,5,11,Performance
3,4,4.9,71,5,10,Performance
0,9,3.1,48,5,10,Software
0,2,7.4,118,5,9,Performance
2,5,7.4,64,5,2,Security
7,1,5.2,121,3,5,Performance
7,5,2.3,50,2,7,Firmware
4,3,5.1,138,5,18,Performance
1,2,1.0,22,4,22,Documentation
1,7,3.0,100,4,17,Software
1,0,4.4,124,3,1,Performance
2,6,7.6,69,4,13,Security
1,8,3.9,32,5,6,Software
3,3,4.8,19,4,22,Firmware
2,8,3.6,66,4,19,Software
2,2,5.6,68,5,20,Firmware
2,4,4.8,141,3,10,Performance
0,11,2.5,4,5,12,Software
7,1,2.7,41,3,10,Hardware
1,8,2.6,44,5,6,Software
3,0,1.0,37,5,11,Documentation
3,4,4.4,140,1,23,Performance
3,3,6.9,187,2,14,Performance
0,0,1.9,7,2,9,Documentation
5,0,3.4,28,1,21,Hardware
10,0,2.4,40,2,7,Hardware
3,1,4.6,48,4,17,Hardware
0,10,3.8,61,2,1,Software
0,3,1.0,13,1,23,Documentation
0,7,3.2,93,2,19,Software
3,2,9.4,98,5,0,Performance
9,1,4.2,30,4,10,Hardware
3,5,5.4,73,1,21,Firmware
10,0,2.3,83,3,17,Hardware
0,2,1.3,3,3,16,Documentation
0,5,6.9,32,3,7,Security
1,8,3.6,89,1,2,Software
1,3,5.4,50,5,22,Firmware
7,0,3.5,67,3,23,Hardware
6,1,2.0,78,3,5,Hardware
5,1,6.8,58,4,23,Performance
0,2,5.9,66,2,2,Performance
7,1,3.0,51,5,14,Hardware
8,1,3.6,102,3,0,Firmware
6,0,3.6,49,2,14,Hardware
2,0,5.2,93,4,1,Performance
6,4,2.9,103,5,2,Firmware
0,9,3.6,117,4,16,Software
1,2,2.6,11,2,22,Firmware
7,1,5.8,78,1,15,Performance
5,5,3.5,60,1,19,Firmware
8,0,1.3,53,1,1,Hardware
2,12,2.7,76,2,2,Software
2,9,3.7,56,2,1,Software
2,5,3.4,134,3,21,Software
11,2,2.8,36,3,13,Hardware
0,8,2.3,105,5,22,Software
0,12,3.4,114,2,12,Software
4,5,5.5,103,5,11,Performance
0,9,3.0,129,2,17,Software
0,8,3.9,107,4,0,Software
10,0,2.7,18,4,16,Hardware
1,2,1.8,44,3,15,Documentation
7,0,2.6,66,3,12,Hardware
5,5,7.0,54,2,3,Performance
1,9,3.1,48,1,15,Software
7,0,4.1,83,2,13,Hardware
2,4,3.7,57,5,19,Firmware
0,7,1.8,81,1,22,Software
4,3,5.5,49,4,5,Firmware
5,6,8.5,128,3,1,Performance
5,8,7.3,64,3,6,Performance
5,0,2.3,52,1,0,Hardware
3,4,6.8,97,2,9,Performance
1,3,1.0,29,2,17,Documentation
6,4,3.7,72,4,15,Performance
0,1,1.1,16,5,1,Documentation
0,6,1.4,145,4,15,Software
2,5,2.2,74,4,0,Software
3,4,6.7,140,3,11,Performance
0,4,9.3,74,4,21,Security
2,6,5.1,37,1,13,Software
2,0,3.6,84,5,12,Firmware
4,2,4.3,62,2,20,Firmware
0,9,5.1,114,4,16,Software
8,2,2.8,63,3,4,Hardware
2,1,4.9,62,1,16,Performance
0,12,1.0,108,3,6,Software
0,10,2.3,47,4,9,Software
2,5,3.3,66,2,7,Software
1,9,2.9,84,2,18,Software
5,3,5.0,89,2,7,Firmware
0,3,1.0,33,4,20,Documentation
0,3,4.6,67,5,14,Performance
1,11,2.3,32,3,0,Software
1,11,2.2,119,1,1,Software
2,0,6.1,110,2,12,Performance
1,8,4.2,59,4,8,Software
2,9,2.6,51,1,19,Software
3,5,4.7,106,5,6,Firmware
5,0,3.6,64,3,1,Hardware
0,2,1.3,27,4,20,Documentation
2,5,4.9,146,5,6,Performance
0,2,1.0,17,2,16,Documentation
8,0,3.4,67,1,9,Hardware
2,4,7.7,63,3,18,Security
7,0,3.7,64,1,19,Hardware
2,8,1.0,95,5,12,Software
0,2,1.3,32,2,22,Documentation
1,11,2.8,85,4,12,Software
8,2,3.1,79,5,4,Hardware
0,7,2.0,85,5,20,Software
1,9,4.4,109,4,20,Software
1,7,1.6,111,2,1,Software
1,9,5.7,84,5,14,Software
1,1,1.0,14,1,13,Documentation
1,13,3.0,66,5,9,Software
10,0,4.2,29,5,5,Hardware
0,9,2.8,95,1,11,Software
3,2,2.9,81,5,10,Firmware
3,3,4.8,91,2,18,Firmware
9,1,2.9,50,1,8,Hardware
6,1,4.0,31,2,16,Firmware
6,1,2.0,18,5,12,Hardware
3,1,4.7,39,3,23,Hardware
6,2,4.1,34,2,13,Hardware
1,5,7.4,99,2,12,Security
1,4,8.3,76,5,19,Security
5,4,3.3,70,3,1,Firmware
11,2,1.8,25,1,6,Hardware
1,0,1.3,45,5,23,Documentation
3,5,4.9,46,5,19,Firmware
6,2,3.6,108,3,11,Firmware
7,0,2.8,44,1,9,Hardware
4,6,4.3,74,2,11,Firmware
0,2,1.0,44,3,21,Documentation
9,1,2.4,52,3,14,Hardware
10,2,2.7,57,1,9,Hardware
0,4,3.5,138,3,9,Performance
1,2,1.2,51,2,23,Documentation
8,2,3.7,19,4,3,Hardware
0,12,1.2,27,3,22,Software
5,1,1.0,17,3,0,Hardware
0,4,6.6,97,1,15,Performance
0,11,2.8,62,1,13,Software
